Sample (%),Error Suara 1,Error Suara 2,Error Suara 3,Error Golput
5,2.8893502884257214,7.318065064490398,8.578618922987275,17.13653769304976
10,0.4666719041061508,0.20021362827205486,1.2768048551173004,4.738236800211471
15,0.17608621454130288,0.4443805617692886,0.27670379277913326,11.2247863543937
20,7.405931121722997,9.435424822849605,4.340691032040249,8.86045138613538
25,2.197290686021564,2.3560110629055795,0.4382853289770024,0.4500491015510899
30,2.703819277930435,0.36307572729930765,4.104257589996211,1.0402724181741914
35,2.051627945044449,1.424391165796825,0.926807211723509,4.160895757423438
40,0.6549778835803723,1.1775674284553528,1.0668716887613579,3.7617318122009573
45,1.3554309631928338,1.7194171963213059,0.7306675696718359,0.9117609854159754
50,2.232861841432865,2.0479020057452986,0.1339923836219002,2.995339111463579
55,1.8120062979694456,0.4683632248972583,2.2696921584047525,2.9144379881041487
60,1.2775315364160749,2.1634122885744502,1.7180733581614442,1.272528850410811
65,1.0340112838244695,1.3146145110641216,0.5935258083293293,0.8581218360899655
70,1.3840476570410074,1.2522811595683605,0.16657607494911858,0.7864726812472977
75,0.5183858912083589,1.4968395383361168,1.842916088864223,1.5303756599657208
80,1.3275221880396961,1.6346069491558617,0.6608526067787462,0.8768395628326615
85,0.7360187858846549,0.20023277215716806,0.9337517485448961,0.3292390116044258
90,0.13527841743868144,0.4538674449816522,1.0194239454742604,2.185264249278415
95,0.17550427502734556,0.6154597848641609,0.7957031027008483,0.7883323151664062
